PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
04070,8620564,0.117439,0.105928,9.421005,0.293461,-0.135149,-0.000727
04071,8620589,0.181029,0.019020,9.361138,0.278629,-0.124119,-0.001258
04072,8620614,0.035939,-0.122689,9.243454,0.272439,-0.114232,-0.006038
04073,8620639,-0.029201,0.025650,9.511777,0.280415,-0.116763,-0.004612
04074,8620664,0.103436,0.298155,9.658603,0.273462,-0.109661,-0.005814
04075,8620689,-0.112441,0.334082,9.768105,0.266417,-0.107273,-0.004369
04076,8620714,0.082873,0.187856,9.680795,0.264456,-0.106306,-0.003099
04077,8620739,-0.045143,0.151960,9.927300,0.268389,-0.102989,-0.003676
04078,8620764,-0.236984,0.276514,9.913027,0.271062,-0.111994,-0.002009
04079,8620789,-0.013350,0.307399,9.565395,0.271685,-0.125800,-0.000544
04080,8620814,0.140643,0.328807,9.514586,0.262938,-0.114273,-0.001445
04081,8620839,-0.018773,0.262937,9.654202,0.257576,-0.111763,0.002009
04082,8620864,-0.120249,0.214259,9.642262,0.262412,-0.111553,0.000141
04083,8620889,-0.287923,0.461191,9.824576,0.259580,-0.119558,0.002036
04084,8620914,0.050574,0.425732,9.548285,0.250676,-0.126123,0.004760
04085,8620939,0.247986,0.211796,9.234899,0.248633,-0.116193,0.001725
04086,8620964,-0.040310,0.300015,9.362087,0.245569,-0.112475,0.004842
04087,8620989,-0.177861,0.437594,9.466184,0.243823,-0.118637,0.003473
04088,8621014,0.637130,0.437526,9.308758,0.238792,-0.087917,0.011290
04089,8621039,-0.284907,0.851980,9.006686,0.212970,-0.086665,0.004274
04090,8621064,-0.053844,0.184027,8.833941,0.202218,-0.102751,0.004681
04091,8621089,0.305468,0.090692,8.867941,0.210882,-0.101587,0.008015
04092,8621114,0.203103,0.520047,8.803456,0.193747,-0.096622,0.005475
04093,8621139,0.434076,0.477900,8.642258,0.173662,-0.091277,0.003926
04094,8621164,0.572150,0.260742,8.455201,0.158722,-0.066966,0.002006
04095,8621189,0.156145,0.319936,8.467721,0.155585,-0.054571,-0.002828
04096,8621214,0.179073,0.640697,8.582276,0.144074,-0.046118,0.003345
04097,8621239,0.110216,0.633807,8.669821,0.124972,-0.038870,0.003993
04098,8621264,0.016307,0.918116,8.706919,0.110818,-0.030044,0.005018
04099,8621289,0.035072,0.894054,8.667910,0.095452,-0.025582,0.008603
04100,8621314,0.104952,0.788373,8.753917,0.071497,-0.025152,0.011078
04101,8621339,0.314899,0.401631,8.809840,0.051335,-0.027478,0.006088
04102,8621364,0.547054,0.155896,9.030754,0.044359,-0.012742,0.008263
04103,8621389,0.078574,0.154105,9.365718,0.035963,-0.009358,0.006410
04104,8621414,0.119704,0.223562,9.480585,0.029904,-0.017613,0.000074
04105,8621439,0.082952,0.306198,9.622443,0.027505,-0.010286,0.003568
04106,8621464,-0.008259,0.422926,9.589854,0.017510,-0.017044,0.000177
04107,8621489,0.044159,0.390410,9.493487,0.012020,-0.016342,0.001798
04108,8621514,0.154484,0.342051,9.618348,0.011208,-0.004965,0.001364
04109,8621539,0.104743,0.283958,9.686395,0.008044,-0.008342,0.001346
04110,8621564,0.205136,0.269715,9.543842,0.015321,-0.004014,0.001650
04111,8621589,0.246254,0.378146,9.496140,0.005192,0.006682,-0.000627
04112,8621614,0.113865,0.144565,9.661269,0.008928,0.008205,0.002084
04113,8621639,0.162450,0.086947,9.861471,0.015151,0.014245,0.002999
04114,8621664,-0.090149,0.308471,10.174269,0.011640,0.009630,0.001960
04115,8621689,-0.137934,0.252049,10.025640,0.014631,-0.003076,0.001546
04116,8621714,0.141138,0.349690,9.902855,0.009745,0.000512,0.002246
